place,title,time,pay,date
서울 서초구,사무보조 아르바이트 모집,09:00~17:00,"시급9,200",13분전
서울 서초구,사무보조 아르바이트 모집,09:00~17:00,"시급9,200",14분전
대구 동구,문화홀 아르바이트 모집,10:00~18:00,"시급9,200",56분전
서울 영등포,아카데미 아르바이트 모집,10:00~18:00,"시급9,200",3시간전
부산 해운대,VIP라운지 아르바이트 모집,10:00~18:00,"시급9,200",4시간전
경기 용인시,신세계백화점 직매입 상품 지원 아르바이트 모집,10:30~18:30,"시급9,200",4시간전
경기 용인시,신세계백화점 경기점 사은행사장 단기 아르바이트 채용,11:00~19:00,"시급9,200",5시간전
서울 전체,신세계 본점 직영 레스토랑 ＇까사빠보＇ 주방 세척 아르바이트 모집,10:00~18:00,"시급12,000",11시간전
서울 중구,신세계 본점 직영 레스토랑 ＇까사빠보＇ 홀서빙 아르바이트 모집,09:00~17:00,"시급12,000",11시간전
서울 서초구,(주)신세계 VIP라운지 채용 (강남점),10:00~18:00,"연봉29,000,000",19시간전
서울 서초구,포터서비스 아르바이트 모집,10:30~20:30,"시급9,200",19시간전
서울 서초구,파트너센터 아르바이트 모집,10:00~18:00,"시급9,200",19시간전
서울 서초구,아카데미 강의세팅 아르바이트 모집,09:30~20:30,"시급9,200",19시간전
서울 서초구,VIP라운지 서비스 아르바이트 모집,10:00~20:30,"시급9,200",19시간전
대전 유성구,파트너센터 아르바이트 모집,10:00~18:00,"시급9,200",20시간전
서울 서초구,사무보조 아르바이트 모집,09:00~17:00,"시급9,200",05/23
서울 영등포,라운지 아르바이트 모집,10:30~18:30,"시급9,200",05/23
서울 강남구,분더샵 아르바이트 모집,11:00~19:00,"시급9,200",05/23
대전 전체,사은행사장  아르바이트 모집,10:30~18:30,"시급9,200",05/23
